MANUFACTURER,MANUFACTURER IMG,Brand,Brand aka,Brand IMG,Line,Cigar,Cigar IMG,Vitola,LENGTH,RG,SHAPE,WRAPPER,BINDER,FILLER,ORIGIN,WRAPPER SHADE,STRENGTH,Box Pressed,Tubo,F/S,TIN,Pack,Barber,Favorite,MSRP,Box MSRP,Box Count,Inventory,Keystone1,Box Cost,Cigar Cost,Net,PRODUCT #,Master Case
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Atom Maduro,,Robusto,5.00,50,Parejo,San Andres,Indonesia,Nicaragua,Nicaragua,EMS,Medium ,,,FS,,,,,11.20,268.80,24,89,12.85,142.23,5.93,6.93,Q-01-01-007,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Plush,,Robusto,5.50,50,Parejo,,,,Nicaragua,,,,,FS,,,,,11.20,268.80,24,89,12.85,142.23,5.93,6.93,Q-01-01-219,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Toast,,Toro,6.00,50,Parejo,,,,Nicaragua,,,,,FS,,,,,11.50,276.00,24,89,13.16,145.86,6.08,7.08,Q-01-01-074,20
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Deep Dish,,Gordo,5.00,58,Parejo,,,,Nicaragua,,,BP,,FS,,,,,12.25,294.00,24,89,13.90,154.83,6.45,7.45,Q-01-14-031,36
Drew Estate,img/icons/manufacturers/drewestate.svg,ACID,,img/icons/brands/acid.svg,,Croqueta Tubo,,Short Robusto,2.81,50,Parejo,,,,Nicaragua,,,,Tubo,FS,,,,,10.75,10.75,25,89,12.81,147.67,5.91,6.91,Q-01-01-251,12
Altadis USA,img/icons/manufacturers/altadisusa.svg,Aging Room,,img/icons/brands/agingroom.svg,,Quattro Nicaragua Espressivo 5x50,,Robusto,5.00,50,Box-Pressed Parejo,Nicaraguan Sumatra,Nicaragua,Nicaragua,Nicaragua,EMS,Medium-Full,BP,,,,,,,13.55,,,,,,,0.00,,
Altadis USA,img/icons/manufacturers/altadisusa.svg,Aging Room,,img/agingroom.svg,,Quattro Nicaragua Vibrato 6x54,,Toro,6.00,54,Box-Pressed Parejo,Nicaraguan Sumatra,Nicaragua,Nicaragua,Nicaragua,EMS,Medium-Full,BP,,,,,,,13.75,,,,,,,0.00,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Bella Artes Habano Rojita Gordo,,Gordo,6.50,58,Parejo,Habano,Quilali,"Nicaragua, Honduras, Brazil",Nicaragua,Colorado,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/icons/brands/ajfernandez.svg,,Bella Artes Habano Rojita Robusto,,Robusto,5.50,52,Parejo,Habano,Quilali,"Nicaragua, Honduras, Brazil",Nicaragua,Colorado,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Bella Artes Habano Rojita Short Churchill,,Short Churchill,6.00,48,Parejo,Habano,Quilali,"Nicaragua, Honduras, Brazil",Nicaragua,Colorado,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Bella Artes Habano Rojita Toro,,Toro,6.00,54,Parejo,Habano,Quilali,"Nicaragua, Honduras, Brazil",Nicaragua,Colorado,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Bella Artes Maduro Rojita Gordo,,Gordo,6.50,58,Parejo,Brazil Mata Fina,Mexican San Andres,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
AJ Fernandez,img/icons/manufacturers/ajfernandez.svg,AJ Fernandez,ajf,img/ajfernandez.svg,,Bella Artes Maduro Rojita Lancero,,Lancero,7.00,40,Parejo,Brazil Mata Fina,Mexican San Andres,Nicaragua,Nicaragua,Maduro,Full,,,,,,,,,,,,,,,,,
