MANUFACTURER,MANUFACTURER IMG,Brand,Brand aka,Brand IMG,Line,Cigar,Cigar IMG,Vitola,LENGTH,RG,SHAPE,WRAPPER,BINDER,FILLER,ORIGIN,WRAPPER SHADE,STRENGTH,Box Pressed,Tubo,F/S,TIN,Pack,Barber,Favorite,MSRP,Box MSRP,Box Count,Inventory,Keystone1,Box Cost,Cigar Cost,Net,PRODUCT #,Master Case
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Cru 44,,,5.13,44,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Cru 48,,,5.00,48,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Cru 50,,,5.50,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Cru 52,,,6.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Cru 75,,,7.00,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Reserva 458,,,4.00,58,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Reserva 552,,,5.50,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Reserva 554,,,5.00,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Reserva 654,,,6.00,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Gran Reserva T,,Torpedo,6.25,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Achilles,,,5.50,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Agamemnon,,,6.50,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Hector,,,5.00,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Helena,,,5.25,46,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Homero,,,5.00,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Menelaus,,Gordo,6.00,60,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Odisseus,,,6.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Paris,,,5.75,56,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Patroclus,,,4.50,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Peleus,,Lancero,7.25,42,Parejo,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Priamus,,,7.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Heroicos Thetis,,Torpedo,6.25,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,La Democracia 56,,Robusto Extra,5.50,56,Parejo,Nicaragua,Nicaragua,,Nicaragua,Natural,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,LE 2021 SP Lanceros,,Lancero,7.25,42,Parejo,Nicaragua,Nicaragua,,Nicaragua,Natural,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Onassis 550,,,5.50,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Onassis 554,,,5.00,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Onassis 652,,,6.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Onassis 750,,,6.75,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Onassis T,,Torpedo,6.25,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Pythagoras 50,,,4.50,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Pythagoras 52,,,5.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Pythagoras 54,,,5.50,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Pythagoras 60,,Gordo,6.00,60,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Pythagoras T,,Torpedo,6.25,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada 1000 Series Reserva 2000,,,5.00,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada 1000 Series Reserva 3000,,Toro,6.00,50,Parejo,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada 1000 Series Reserva 4000,,,6.25,54,,Nicaragua,Nicaragua,Nicaragua,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Cafe Cafe 52,,,5.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Cafe Cafe 60,,,5.50,58,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Cafe Noir 54,,Robusto Extra,5.50,54,Parejo,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Cafe Noir 56,,,6.00,56,,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Cafe Noir 62,,Gordo,6.25,60,,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Cafe Petit Cafe,,,4.50,42,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Classica Epicures,,,4.50,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Classica Imperiales,,,6.25,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Reserva Limitada Classica Monarcas,,,5.25,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada,,Robusto,,,,Nicaragua,Nicaragua,Nicaragua,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Coronations Cazadores,,,6.13,44,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Coronations Coronas,,Corona,5.13,42,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Coronations Petit Coronas,,Petite Corona,4.38,42,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Diplomaticos,,,6.25,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Maduro Eminentes,,,5.50,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Maduro Fabulosos,,,7.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Maduro Magnificos,,Gordo,6.00,60,Parejo,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Robustos,,Robusto,5.00,50,Parejo,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Seleccion Privada Royales,,Robusto Extra,5.00,54,Parejo,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Socrates 458,,,4.00,58,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Socrates 550,,,5.00,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Socrates 552,,,5.50,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Socrates 654,,,6.00,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Socrates T,,Torpedo,6.25,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown 460,,,4.00,60,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown 550,,,5.00,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown 554,,,5.50,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown 652,,,6.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown Maduro 450,,Short Robusto,4.50,50,Parejo,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown Maduro 550 Robusto,,Robusto,5.50,50,Parejo,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown Maduro 554,,Robusto Extra,5.00,54,Parejo,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown Maduro 654,,Toro Gordo,6.00,54,Parejo,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown Maduro 660,,Gordo,6.00,60,Parejo,Nicaragua,Nicaragua,,Nicaragua,Maduro,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Sun Grown T,,Torpedo,6.00,52,Pyramid,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Vintage 446,,,4.50,46,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Vintage 550,,,5.50,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Vintage 554,,,5.00,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Vintage 648,,,6.00,48,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Vintage 660,,Gordo,6.00,60,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Virtudes 50,,,4.50,50,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Virtudes 52,,,5.00,52,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Virtudes 54,,Robusto Extra,5.50,54,Parejo,Nicaragua,Nicaragua,,Nicaragua,Natural,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Virtudes 56,,,6.00,56,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Curivari,img/icons/manufacturers/curivari.svg,Curivari,,img/icons/brands/curivari.svg,,Virtudes T,,Torpedo,6.25,54,,Nicaragua,Nicaragua,,Nicaragua,,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Dragon 2012,Img/cigars/davidoffyearofthedragon2012.png,Pyramid,6.00,52,Pyramid,Ecuador 702 Habano,Ecuadorian Habano,Dominican Republic,Dominican Republic,,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Snake 2013,Img/cigars/davidoffyearofthesnake2013.png,Churchill,7.00,48,Parejo,Ecuador 702,San Vicente Seco,"Piloto Seco, San Vicente Ligero, Piloto Viso, Hybrid 192 Seco/Yamasá",Dominican Republic,,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Horse 2014,Img/cigars/davidoffyearofthehorse2014.png,Gordo,6.00,60,Parejo,Dominican Yamasa,Dominican San Vicenté,Dominican Republic,Dominican Republic,,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Sheep 2015,img/cigars/davidoffyearofthesheep2015.png,Belicoso,6.50,54,Pyramid,Ecuadorian Habano,Dominican Yamasa,Dominican Republic,Dominican Republic,,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Monkey 2016,Img/cigars/davidoffyearofthemonkey2016.png,Toro,6.50,50,Parejo,Ecuadorian Habano,Mexico (Negro San Andres),"Dominican Republic, Nicaragua, Peru",Dominican Republic,,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Rooster 2017,img/cigars/davidoffyearoftherooster2017.png,Presidente,6.75,50,Presidente,Ecuadorian Habano,Dominican Republic San Vicente Mejorado,Dominican Republic,Dominican Republic,Natural,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Dog 2018,Img/cigars/davidoffyearofthedog2018.png,Churchill,7.00,50,Parejo,Ecuadorian Habano Claro,Dominican San Vicente Seco,"Dominican Republic, Nicaragua",Dominican Republic,Colorado Maduro,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Pig 2019,Img/cigars/davidoffyearofthepig2019.png,Toro Gordo,6.00,56,Parejo,Ecuador Habano 2000,Mexican San Andres,"Dominican Republic, Nicaragua",Dominican Republic,Colorado Maduro,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Rat 2020,Img/cigars/davidoffyearoftherat2020.png,Toro,6.00,52,Parejo,Ecuadorian Habano,Nicaragua,"Dominican Republic, Nicaragua",Dominican Republic,Colorado Maduro,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Ox 2021,Img/cigars/davidoffyearoftheox2021.png,Gordo,6.00,60,Parejo,Dominican,Ecuadorian Sumatran,"Dominican Republic, Nicaragua",Dominican Republic,EMS,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Tiger 2022,img/cigars/davidoffyearofthetiger2022.png,Pyramid,5.50,52,Pyramid,Ecuadorian Connecticut,Dominican Republic - Hybrid 257 seco,Dominican Republic,Dominican Republic,Natural,Medium,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Rabbit 2023,img/cigars/davidoffyearoftherabbit2023.png,Perfecto,5.88,54,Perfecto,Ecuador,Mexico,"Dominican Republic, Nicaragua",Dominican Republic,,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Dragon 2024,img/cigars/davidoffyearofthedragon2024.png,Double Corona,7.50,50,Parejo,Ecuador,Dominican Republic,"Dominican Republic, Mexico, Nicaragua",Dominican Republic,Maduro,Full,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Year of the Snake 2025,img/cigars/davidoffyearofthesnake2025.png,Lancero,7.00,43,Parejo,Ecuador,Ecuador,"Dominican Republic, Mexico",Dominican Republic,Maduro,Medium,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Aniversario Double R,,Double Corona,7.50,50,Parejo,"Ecuador, Nicaragua",Dominican Republic,Dominican Republic,Dominican Republic,Natural,Mild,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Aniversario Entreacto,,Short Corona,3.50,43,Parejo,"Ecuador, Nicaragua",Dominican Republic,Dominican Republic,Dominican Republic,Natural,Mild,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Aniversario No. 3 Toro,,Toro,6.00,50,Parejo,"Ecuador, Nicaragua",Dominican Republic,Dominican Republic,Dominican Republic,Natural,Mild,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Aniversario Short Perfecto,,Perfecto,4.88,52,Perfecto,"Ecuador, Nicaragua",Dominican Republic,Dominican Republic,Dominican Republic,Natural,Mild,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Aniversario Special R,,Short Robusto,4.88,50,Parejo,"Ecuador, Nicaragua",Dominican Republic,Dominican Republic,Dominican Republic,Natural,Mild,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Aniversario Special T Torpedo,,Torpedo,6.00,52,Pyramid,"Ecuador, Nicaragua",Dominican Republic,Dominican Republic,Dominican Republic,Natural,Mild,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Art Edition LE 2017 Toro,,Toro,6.00,54,Parejo,Ecuador Habano,Ecuador Habano,"Brazil, Dominican Republic",Dominican Republic,Natural,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Chefs Edition 2018 Toro,,Toro Gordo,6.00,54,Parejo,Dominican Republic,Mexico (Negro San Andres),"Dominican Republic (Piloto Viso, San Vicente Mejorado Ligero, Yamasá Viso) & Nicaragua (Estelí Viso)",Dominican Republic,Natural,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Chefs Edition 2021 Churchill,,Churchill,7.00,48,Parejo,Ecuador (Hybrid 238),Mexico (Negro San Andres Seco),"Dominican Republic (Piloto Seco, San Vincente Ligero, Piloto Visus, Hybrid 192 Seco)",Dominican Republic,Natural,,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,New York City Exclusive 2021,,Toro,6.00,50,Parejo,Ecuador Habano,Mexico (Negro San Andres),"Dominican Republic, Nicaragua, Peru",,,Medium-Full,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,110th Anniversary Exclusive 2021,,Toro,6.00,50,Parejo,Ecuador 702,Mexico (Negro San Andres),"Nicaragua Jalapa Especial Visus, Dominican Republic Piloto Seco, San Vicente Ligero, Hybrid 192 Visus, Hybrid 259 Seco",,,Medium,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Dominicana Robusto,,Robusto,5.13,52,Parejo,Dominican (Hybrid 257),Ecuador (Hybrid 151),"Dominican (San Vicente Visus, San Vicente Mejorado Seco, Piloto Visus, Dominican Corojo 99 Seco, Yamasa Visus)",Dominican Republic,Natural,Full,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Dominicana Short Robusto,,Short Robusto,4.00,50,Parejo,Dominican (Hybrid 257),Ecuador (Hybrid 151),"Dominican (San Vicente Visus, San Vicente Mejorado Seco, Piloto Visus, Dominican Corojo 99 Seco, Yamasa Visus)",Dominican Republic,Natural,Full,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Dominicana Toro,,Toro,6.00,50,Parejo,Dominican (Hybrid 257),Ecuador (Hybrid 151),"Dominican (San Vicente Visus, San Vicente Mejorado Seco, Piloto Visus, Dominican Corojo 99 Seco, Yamasa Visus)",Dominican Republic,Natural,Full,,,,,,,,,,,,,,,,,
Davidoff,img/icons/manufacturers/davidoff.svg,Davidoff,,img/icons/brands/davidoff.svg,,Escurio Corona Gorda,,Corona Gordo,6.00,46,Parejo,Ecuador Habano,Brazil Cubra,"Brazil, Dominican Republic",Dominican Republic,EMS,Medium,,,,,,,,,,,,,,,,,
